sentence_cleaned,file
අක්කයි මායි දෙන්නත් ළඟ නැතුව,asr_sinhala/data/aa/aaaee62687.flac
ශ්‍රී ලංකාව බැහැර කොට ඇත,asr_sinhala/data/07/07031079ca.flac
ඔන්න ඔය විදිහට යෙදෙන නැකතෙන්,asr_sinhala/data/31/3128fc4733.flac
අපි එහෙම කරන්නෙ,asr_sinhala/data/bc/bcf8fc851d.flac
සිතේ ඇතිවුණ ශ්‍රද්ධාවෙන්ම,asr_sinhala/data/cc/ccb9d0ed42.flac
අපේ මිනිසුන්,asr_sinhala/data/be/be43ef1c86.flac
වැඩක් සෑම්ටයි ඩීන්ටයි හම්බවෙනවා,asr_sinhala/data/02/0212c74630.flac
කඳාන සාන්ත සෙබස්තියන් මහා විද්‍යාලය.,asr_sinhala/data/2a/2ae94794b9.flac
මේ දෙකටම අසු නොවන මැදුම් පිළිවෙත,asr_sinhala/data/9a/9a90a60dee.flac
ඉතින් ඔහොම යන අතරේ ඇවිදිණ මළමිණි දෙන්නෙක්,asr_sinhala/data/bf/bf8e79a59f.flac
මල් පැන් සොයා ගෙන රැස්කර ගන්නවා.,asr_sinhala/data/c1/c125f37710.flac
නමුත් එක එක පිල්ලි යවල,asr_sinhala/data/85/85836859fa.flac
සංවේගය උපදවාගත යුතු,asr_sinhala/data/35/35dd3c85a2.flac
නමුත් පොදු ජනතාවගේ අවශ්‍යතා ඉටු කර ගැනීමට,asr_sinhala/data/0a/0a7a4de52b.flac
ඒ සම්බන්ධව සියළුම ආකාරයේ අයිතීන්,asr_sinhala/data/87/873da9b68e.flac
ස්පර්ශය යම් තැනක හටගන්නවාද,asr_sinhala/data/01/01ed0fd949.flac
විස්මිත විදුලි දාංගලය දෙස බලමින් සිටින අතර,asr_sinhala/data/fc/fccb73ece6.flac
ඔය මළ ඉලව්,asr_sinhala/data/75/755da3b650.flac
එවිට එතැන රත්නවල්ලි අම්මලාගේ දේවාලය වෙයි.,asr_sinhala/data/64/64f99e809b.flac
